12night,Twelfth Night
allswell,All's Well That Ends Well
antonycleo,Antony and Cleopatra
asyoulikeit,As You Like It
comedyerrors,Comedy of Errors
coriolanus,Coriolanus
cymbeline,Cymbeline
hamlet,Hamlet
henry4p1,"Henry IV, Part I"
henry4p2,"Henry IV, Part II"
henry5,Henry V
henry6p1,"Henry VI, Part I"
henry6p2,"Henry VI, Part II"
henry6p3,"Henry VI, Part III"
henry8,Henry VIII
juliuscaesar,Julius Caesar
kingjohn,King John
kinglear,King Lear
loverscomplaint,Lover's Complaint
loveslabours,Love's Labour's Lost
macbeth,Macbeth
measure,Measure for Measure
merchantvenice,Merchant of Venice
merrywives,Merry Wives of Windsor
midsummer,Midsummer Night's Dream
muchado,Much Ado about Nothing
othello,Othello
passionatepilgrim,Passionate Pilgrim
pericles,Pericles
phoenixturtle,Phoenix and the Turtle
rapelucrece,Rape of Lucrece
richard2,Richard II
richard3,Richard III
romeojuliet,Romeo and Juliet
sonnets,Sonnets
tamingshrew,Taming of the Shrew
tempest,Tempest
timonathens,Timon of Athens
titus,Titus Andronicus
troilus,Troilus and Cressida
twogents,Two Gentlemen of Verona
venusadonis,Venus and Adonis
winterstale,Winter's Tale
